名称,分类,简介,来源
豆腐包,面点小吃,豆腐包——嵊州是浙江小吃之乡。豆腐包用嫩豆腐做馅一咬爆汁。炒年糕不是炒的而是带汤的，是嵊州独有吃法。,
炒年糕,面点小吃,炒年糕——嵊州是浙江小吃之乡。豆腐包用嫩豆腐做馅一咬爆汁。炒年糕不是炒的而是带汤的，是嵊州独有吃法。,
三鲜打面,面点小吃,三鲜打面——次坞打面是非遗技艺，用竹杠反复打压面团使其劲道。入口弹牙、汤头鲜美，是诸暨第一面。,
大排打面,面点小吃,大排打面——次坞打面是非遗技艺，用竹杠反复打压面团使其劲道。入口弹牙、汤头鲜美，是诸暨第一面。,
新昌炒年糕,面点小吃,新昌炒年糕——新昌炒年糕带汤，用冬笋、雪菜、肉丝同炒后加水煮，年糕软糯汤汁鲜美。,
糟肉年糕,面点小吃,糟肉年糕——新昌炒年糕带汤，用冬笋、雪菜、肉丝同炒后加水煮，年糕软糯汤汁鲜美。,
青菜年糕,面点小吃,青菜年糕——新昌炒年糕带汤，用冬笋、雪菜、肉丝同炒后加水煮，年糕软糯汤汁鲜美。,
臭豆腐,街头小吃,臭豆腐——绍兴臭豆腐代表摊位，外酥里嫩配上甜酱和辣酱。逛鲁迅故里时必吃的街头美食。,
萝卜丝饼,街头小吃,萝卜丝饼——绍兴臭豆腐代表摊位，外酥里嫩配上甜酱和辣酱。逛鲁迅故里时必吃的街头美食。,
虾饼,街头小吃,虾饼——绍兴臭豆腐代表摊位，外酥里嫩配上甜酱和辣酱。逛鲁迅故里时必吃的街头美食。,
油墩子,街头小吃,油墩子——书圣故里附近的老牌臭豆腐摊，据说有30多年历史。臭豆腐外酥里嫩酱料是秘制的。,
炸年糕,街头小吃,炸年糕——书圣故里附近的老牌臭豆腐摊，据说有30多年历史。臭豆腐外酥里嫩酱料是秘制的。,
奶油小攀,甜品,奶油小攀——奶油小攀是绍兴独有的传统甜品，类似蛋挞但口感更绵密。高老太是公认最正宗的，开了三十多年。,
黄酒奶茶,饮品,黄酒奶茶——绍兴黄酒新喝法的代表店铺。黄酒+奶茶的跨界组合意外好喝，酒香与奶香融合，是年轻人打卡圣地。,
黄酒拿铁,饮品,黄酒拿铁——绍兴黄酒新喝法的代表店铺。黄酒+奶茶的跨界组合意外好喝，酒香与奶香融合，是年轻人打卡圣地。,
黄酒冰淇淋,饮品,黄酒冰淇淋——绍兴黄酒新喝法的代表店铺。黄酒+奶茶的跨界组合意外好喝，酒香与奶香融合，是年轻人打卡圣地。,
黄酒棒冰,特产,黄酒棒冰——中国黄酒博物馆附设商店，可品酒购酒。从三年陈到三十年陈应有尽有。,
古越龙山黄酒,特产,古越龙山黄酒——绍兴黄酒龙头企业古越龙山的体验馆。可参观酿酒过程，品尝不同年份黄酒，定制专属花雕酒坛。,
定制花雕,特产,定制花雕——绍兴黄酒龙头企业古越龙山的体验馆。可参观酿酒过程，品尝不同年份黄酒，定制专属花雕酒坛。,
黄酒巧克力,特产,黄酒巧克力——绍兴黄酒龙头企业古越龙山的体验馆。可参观酿酒过程，品尝不同年份黄酒，定制专属花雕酒坛。,
母子酱油,特产,母子酱油——创建于清光绪十八年（1892年），至今仍用传统工艺晒制酱油。园区免费参观，可购买手工酱油和酱货。,
太油,特产,太油——创建于清光绪十八年（1892年），至今仍用传统工艺晒制酱油。园区免费参观，可购买手工酱油和酱货。,
扯白糖,街头小吃,扯白糖——扯白糖是绍兴非遗技艺。师傅现场拉制，将滚烫糖浆反复拉扯至银白色，切成小块甜而不腻。,
姜糖,街头小吃,姜糖——扯白糖是绍兴非遗技艺。师傅现场拉制，将滚烫糖浆反复拉扯至银白色，切成小块甜而不腻。,
花生糖,街头小吃,花生糖——扯白糖是绍兴非遗技艺。师傅现场拉制，将滚烫糖浆反复拉扯至银白色，切成小块甜而不腻。,
安昌腊肠,绍兴菜,安昌腊肠——安昌古镇老街上的人气餐馆，以安昌腊味和本地绍兴菜为主。腊肠蒸饭是招牌。,
黄酒,街头小吃,黄酒——咸亨酒店隔壁的外卖窗口，价格比堂食便宜。买包茴香豆边走边吃，体验孔乙己的快乐。,
龙井茶,茶馆,龙井茶——东湖景区内的茶馆，可一边品茶一边欣赏东湖山水。桂花糕是季节限定。,
桂花糕,茶馆,桂花糕——东湖景区内的茶馆，可一边品茶一边欣赏东湖山水。桂花糕是季节限定。,
藕粉,茶馆,藕粉——沈园内的茶馆，坐在宋代园林中品茶别有意境。可听到不远处越剧堂会的袅袅唱腔。,
土鸡煲,农家菜,土鸡煲——大禹陵周边的农家乐，以本地土鸡和鉴湖河鲜为主。土鸡煲是每桌必点。,
时蔬,农家菜,时蔬——大禹陵周边的农家乐，以本地土鸡和鉴湖河鲜为主。土鸡煲是每桌必点。,
兰亭笋干,农家菜,兰亭笋干——兰亭景区附近的农家菜，春季笋干最鲜美。环境简朴但食材新鲜地道。,
时令蔬菜,农家菜,时令蔬菜——兰亭景区附近的农家菜，春季笋干最鲜美。环境简朴但食材新鲜地道。,
笋干烧肉,农家菜,笋干烧肉——穿岩十九峰周边的农家乐。新昌炒年糕是必吃的，配上一碗土鸡汤完美补给登山消耗。,
覆卮山土鸡,农家菜,覆卮山土鸡——覆卮山周边农家乐。油菜花季时坐在梯田边吃饭景色绝佳。,
梯田时蔬,农家菜,梯田时蔬——覆卮山周边农家乐。油菜花季时坐在梯田边吃饭景色绝佳。,
野生河鱼,农家菜,野生河鱼——覆卮山周边农家乐。油菜花季时坐在梯田边吃饭景色绝佳。,
梅干菜饼,土特产,梅干菜饼——绍兴梅干菜色泽乌黑、香气浓郁。以芥菜腌制晒干而成，是做梅干菜扣肉的必备食材。,
蒸腊肠,土特产,蒸腊肠——安昌腊肠选用猪后腿肉灌制，用酱油、黄酒、白糖腌制后风干。蒸熟切片即可食用，香气扑鼻。,
腊肠饭,土特产,腊肠饭——安昌腊肠选用猪后腿肉灌制，用酱油、黄酒、白糖腌制后风干。蒸熟切片即可食用，香气扑鼻。,
花雕酒,土特产,花雕酒——花雕酒是绍兴黄酒中的精品，酒坛上有精美彩绘。陈年花雕酒色如琥珀，温润醇厚。,
蒸双臭,土特产,蒸双臭——绍兴三臭之一。苋菜梗发酵后产生特殊风味，爱的人爱死、怕的人怕死。配豆腐同蒸为'蒸双臭'。,
霉苋菜梗,土特产,霉苋菜梗——绍兴三臭之一。苋菜梗发酵后产生特殊风味，爱的人爱死、怕的人怕死。配豆腐同蒸为'蒸双臭'。,
蒸霉千张,土特产,蒸霉千张——绍兴三臭之二。千张（豆腐皮）发酵后产生浓郁风味。蒸后口感绵软，是绍兴人最爱的下饭菜。,
炸臭豆腐,土特产,炸臭豆腐——绍兴三臭之三。苋菜梗卤水浸泡豆腐后油炸至金黄。外酥里嫩，蘸甜酱和辣酱吃。,
糟鸡,土特产,糟鸡——绍兴糟货代表。鸡肉用酒糟腌制后肉质紧实、酒香浓郁。是绍兴人过年必备冷盘。,
糟鸡爪,土特产,糟鸡爪——绍兴糟货代表。鸡肉用酒糟腌制后肉质紧实、酒香浓郁。是绍兴人过年必备冷盘。,
绍兴香糕,糕点,绍兴香糕——绍兴传统糕点，以米粉、白糖、桂花为原料烘烤制成。酥脆香甜，是伴手礼佳选。,
炒榨面,土特产,炒榨面——嵊州传统米面，细如发丝。炒或煮汤皆可，口感爽滑。是嵊州家家户户必备的主食。,
汤榨面,土特产,汤榨面——嵊州传统米面，细如发丝。炒或煮汤皆可，口感爽滑。是嵊州家家户户必备的主食。,
霉千张,绍兴菜,霉千张——以绍兴三臭闻名的本地菜馆。霉苋菜梗蒸豆腐是招牌。体验地道绍兴味的好去处。,
雪菜炒笋,绍兴菜,雪菜炒笋——府山公园旁的本地土菜馆，游客少本地人多。越鸡是绍兴本地鸡种，清汤炖制肉质鲜嫩。,
酱爆螺蛳,绍兴菜,酱爆螺蛳——府山公园旁的本地土菜馆，游客少本地人多。越鸡是绍兴本地鸡种，清汤炖制肉质鲜嫩。,
香糕,糕点,香糕——绍兴老字号糕点店，桂花糕和香糕最受欢迎。伴手礼首选。,
定胜糕,糕点,定胜糕——绍兴老字号糕点店，桂花糕和香糕最受欢迎。伴手礼首选。,
黄酒炖蛋,绍兴菜,黄酒炖蛋——古越龙山旗下的黄酒主题餐厅。每道菜都以黄酒入菜，酒香与菜香完美融合。,
酒香肉,绍兴菜,酒香肉——古越龙山旗下的黄酒主题餐厅。每道菜都以黄酒入菜，酒香与菜香完美融合。,
各类小吃,小吃集合,各类小吃——绍兴市中心最大的购物中心美食广场，汇集绍兴小吃和全国连锁餐饮品牌。,
连锁餐饮,小吃集合,连锁餐饮——绍兴市中心最大的购物中心美食广场，汇集绍兴小吃和全国连锁餐饮品牌。,
绍东家,小吃集合,绍东家——绍兴世茂商圈的美食聚集区，从本地绍兴菜到日韩料理应有尽有。,
日料,小吃集合,日料——绍兴世茂商圈的美食聚集区，从本地绍兴菜到日韩料理应有尽有。,
韩式烤肉,小吃集合,韩式烤肉——绍兴世茂商圈的美食聚集区，从本地绍兴菜到日韩料理应有尽有。,
大排面,面点小吃,大排面——绍兴本地人爱吃的老面馆。片儿川雪菜笋片肉丝浇头鲜美。,
咸豆浆,面点小吃,咸豆浆——绍兴传统早餐铺。咸豆浆配油条是正宗绍兴吃法。粢饭团裹油条和榨菜是绍兴人从小吃到大的早餐。,
油条,面点小吃,油条——绍兴传统早餐铺。咸豆浆配油条是正宗绍兴吃法。粢饭团裹油条和榨菜是绍兴人从小吃到大的早餐。,
粢饭团,面点小吃,粢饭团——绍兴传统早餐铺。咸豆浆配油条是正宗绍兴吃法。粢饭团裹油条和榨菜是绍兴人从小吃到大的早餐。,
西施豆腐,地方菜,西施豆腐——诸暨特色蒸菜馆。西施豆腐是诸暨名菜，嫩豆腐配虾仁火腿蒸制鲜香滑嫩。,
诸暨蒸三鲜,地方菜,诸暨蒸三鲜——诸暨特色蒸菜馆。西施豆腐是诸暨名菜，嫩豆腐配虾仁火腿蒸制鲜香滑嫩。,
新昌春饼,面点小吃,新昌春饼——新昌特色小吃。春饼薄如纸包着豆芽肉丝炸至金黄。米海茶是新昌传统饮品。,
米海茶,面点小吃,米海茶——新昌特色小吃。春饼薄如纸包着豆芽肉丝炸至金黄。米海茶是新昌传统饮品。,
上虞土鸡煲,农家菜,上虞土鸡煲——上虞区知名农家菜馆。土鸡煲用本地散养土鸡慢炖数小时，汤浓味鲜。,
榨面,小吃集合,榨面——嵊州小吃一站式体验。小笼包皮薄馅大豆腐包一咬爆汁。炒年糕带汤是嵊州独有吃法。,
笋干菜烧肉,土特产,笋干菜烧肉——绍兴笋干菜用春笋和芥菜晒制而成，是做笋干菜烧肉的核心食材。,
醉枣,土特产,醉枣——绍兴传统醉货。用黄酒浸泡红枣制成，酒香浓郁甜而不腻。伴手礼佳选。,
黄酒博物馆/安昌古镇,,,
安昌古镇/黄酒博物馆/书圣故里,,,
同心楼→鲁迅故里→咸亨酒店→高老太奶油小攀→寻宝记→绘璟轩,,,
D1:鲁迅故里→黄酒博物馆  D2:柯岩→鲁镇→安昌,,,
D1:鲁迅故里+沈园+仓桥直街  D2:柯岩+鉴湖+鲁镇  D3:兰亭+东湖+书圣故里  D4:新昌大佛寺+穿岩十九峰  D5:安昌古镇+黄酒博物馆,,,
