名称,来源数量,地址,开放时间,门票价格,评分,简介,信任等级,内容分类,主分类,交通,内容
镜湖国家湿地公园,2,绍兴市越城区镜湖新区,全天开放,免费,4.2,镜湖是绍兴城市湿地公园，水面宽阔碧波荡漾。有环湖绿道适合骑行和散步，春季油菜花海和秋季芦苇荡各具风情。,2,attraction_culture|attraction_basic,景点,公交15路至镜湖公园站,前往镜湖国家湿地公园: 公交15路至镜湖公园站
府山公园,2,绍兴市越城区府山街道,全天开放,免费,4.1,府山为绍兴城内最高点，登顶可俯瞰古城全貌。山上有越王台、越王殿、飞翼楼、唐宋摩崖石刻等古迹。,2,attraction_culture|attraction_basic,景点,公交2/5路至府山公园站,前往府山公园: 公交2/5路至府山公园站
迎恩门水街,2,绍兴市越城区迎恩门,全天开放,免费,4.0,迎恩门是绍兴古城西门，近年改造为水乡风情商业街。沿河而建的仿古建筑群中有茶馆、餐厅、文创店。,2,attraction_culture|attraction_basic,景点,公交2/5路至迎恩门站,前往迎恩门水街: 公交2/5路至迎恩门站
塔山公园,2,绍兴市越城区塔山街道,全天开放,免费,3.9,塔山因山上有应天塔而得名。公园小巧精致，登塔可眺望绍兴古城。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往塔山公园: 公交1/2路
蕺山公园,2,绍兴市越城区蕺山街,全天开放,免费,3.8,蕺山是书圣故里背后的山丘，因王羲之在此采蕺（鱼腥草）而得名。山顶有文笔塔，可眺望绍兴全城。,2,attraction_culture|attraction_basic,景点,步行从书圣故里可达,前往蕺山公园: 步行从书圣故里可达
若耶溪,2,绍兴市越城区平水镇,全天开放,免费,4.0,若耶溪是浙东唐诗之路上的重要节点，溪水清澈两岸青山。李白、杜甫、王维等诗人曾泛舟若耶溪。,2,attraction_culture|attraction_basic,景点,建议自驾,前往若耶溪: 建议自驾
羊山石佛,2,绍兴市柯桥区齐贤街道,08:00-16:30,20元,4.0,羊山石佛与柯岩大佛同为隋代石刻造像。石佛高约6米，开凿于隋开皇年间，为浙江现存最早的石窟造像之一。,2,attraction_culture|attraction_basic,景点,公交5路至羊山站,前往羊山石佛: 公交5路至羊山站
印山越国王陵,2,绍兴市柯桥区兰亭镇,08:30-16:30,30元,4.1,印山越国王陵是春秋战国时期越国王陵，1998年考古发掘震惊学界。墓室为巨大的'人'字形木结构。,2,attraction_culture|attraction_basic,景点,公交3路至印山站,前往印山越国王陵: 公交3路至印山站
东浦古镇,2,绍兴市越城区东浦街道,全天开放,免费,4.1,东浦是绍兴黄酒的发源地之一，被称为'黄酒小镇'。古镇保存了传统水乡格局，有古酒坊、老桥和老街。,2,attraction_culture|attraction_basic,景点,,
诸暨千柱屋,2,绍兴市诸暨市东白湖镇,08:30-17:00,30元,4.1,千柱屋是清代巨商斯元儒的故居，因有千余根柱子得名。建筑规模宏大，雕刻精美，是江南民居建筑的杰作。,2,attraction_culture|attraction_basic,景点,诸暨客运中心乘班车,前往诸暨千柱屋: 诸暨客运中心乘班车
嵊州越剧小镇,2,绍兴市嵊州市甘霖镇,09:00-17:00,60元,4.2,越剧小镇是以越剧文化为主题的文化旅游小镇。有越剧戏台、越剧博物馆、越剧工坊等，可观看越剧演出和体验越剧化妆。,2,attraction_culture|attraction_basic,景点,嵊州客运中心乘专线,前往嵊州越剧小镇: 嵊州客运中心乘专线
嵊州温泉城,2,绍兴市嵊州市崇仁镇,10:00-22:00,168元起,4.1,嵊州温泉城是绍兴最大的温泉度假区，有室内外温泉泡池数十个。冬季泡温泉暖身养生，搭配崇仁古镇一日游。,2,attraction_culture|attraction_basic,景点,嵊州客运中心乘专线,前往嵊州温泉城: 嵊州客运中心乘专线
斯宅古村,2,绍兴市诸暨市东白湖镇斯宅村,全天开放,免费,4.0,斯宅古村是保存完好的清代古村落群，以千柱屋为核心。村中有多座大型台门建筑，原生态风貌。,2,attraction_culture|attraction_basic,景点,建议自驾,前往斯宅古村: 建议自驾
绍兴科技馆,2,绍兴市越城区人民东路,09:00-16:30(周一闭馆),免费,4.0,绍兴科技馆是集科普教育、互动体验于一体的现代化科技馆。有机器人、VR体验、4D影院等，适合亲子游。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往绍兴科技馆: 公交1/2路
绍兴非遗馆,2,绍兴市越城区人民西路,09:00-16:30(周一闭馆),免费,4.0,绍兴非遗馆集中展示绍兴各级非物质文化遗产项目。有黄酒酿造、越剧、嵊州竹编、花雕制作等非遗项目的实物和互动体验。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往绍兴非遗馆: 公交1/2路
绍兴城市广场,2,绍兴市越城区胜利西路,全天开放,免费,4.0,绍兴城市广场是绍兴市中心地标，广场上有大善塔和音乐喷泉。夜晚灯光璀璨，是市民休闲和游客打卡的热门地点。,2,attraction_culture|attraction_basic,景点,公交1/2/5路至城市广场站,前往绍兴城市广场: 公交1/2/5路至城市广场站
迪荡湖公园,2,绍兴市越城区迪荡新城,全天开放,免费,4.1,迪荡湖是绍兴新城区的城市湖泊公园，有环湖跑道和自行车道。湖边有咖啡馆和餐厅，是市民休闲新地标。,2,attraction_culture|attraction_basic,景点,公交15路至迪荡湖站,前往迪荡湖公园: 公交15路至迪荡湖站
会稽山阳明洞天,2,绍兴市越城区会稽山,08:00-17:00,含在宛委山门票内,4.0,阳明洞天是王阳明讲学论道之处，为心学发源地之一。洞内有王阳明手书'阳明洞天'石刻。,2,attraction_culture|attraction_basic,景点,公交2/10路至宛委山,前往会稽山阳明洞天: 公交2/10路至宛委山
越王城遗址,2,绍兴市越城区府山街道,08:00-17:00,免费,3.9,越王城遗址是春秋越国都城遗址，位于府山南麓。遗址出土大量越国文物，是研究越文化的重要考古遗址。,2,attraction_culture|attraction_basic,景点,公交2/5路至府山公园,前往越王城遗址: 公交2/5路至府山公园
绍兴名人广场,2,绍兴市越城区胜利西路,全天,免费,3.8,绍兴名人广场以绍兴历代名人雕塑为主题，有大禹、勾践、王羲之、陆游、鲁迅等名人铜像。是了解绍兴名人文化的好去处。,2,attraction_culture|attraction_basic,景点,公交1/2路至城市广场站,前往绍兴名人广场: 公交1/2路至城市广场站
绍兴环城河,2,绍兴市越城区环城河沿线,全天,免费,4.0,绍兴环城河环绕古城一周，全长约12公里。沿河有步道和绿化带，适合散步骑行。夜晚灯光倒映水中景色迷人。,2,attraction_culture|attraction_basic,景点,沿环城路多个入口,前往绍兴环城河: 沿环城路多个入口
稽山公园,2,绍兴市越城区稽山路,全天,免费,3.8,稽山公园是越城区的社区公园，以会稽山文化为主题。园内有小桥流水和亭台楼阁，是周边居民休闲好去处。,2,attraction_culture|attraction_basic,景点,公交2路,前往稽山公园: 公交2路
绍兴市美术馆,2,绍兴市越城区人民西路,09:00-16:30(周一闭馆),免费,3.9,绍兴市美术馆定期举办书画展、摄影展等。馆藏以绍兴籍书画家作品为特色，是了解绍兴书画艺术的好去处。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往绍兴市美术馆: 公交1/2路
绍兴大剧院,2,绍兴市越城区解放北路,按演出时间,按演出定价,4.0,绍兴大剧院是绍兴最大的演出场所，定期上演越剧、话剧、音乐会等。建筑外观现代，是绍兴文化地标之一。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往绍兴大剧院: 公交1/2路
上虞曹娥江,2,绍兴市上虞区曹娥江沿岸,全天,免费,3.9,曹娥江是绍兴母亲河之一，因孝女曹娥得名。江畔有步道和公园，适合散步骑行。,2,attraction_culture|attraction_basic,景点,上虞区公交,前往上虞曹娥江: 上虞区公交
新昌天烛仙境,2,绍兴市新昌县澄潭镇,08:00-17:00,50元,4.0,天烛仙境是新昌近年开发的自然景区。碧水丹山相映成趣，有游船和登山步道。夏季凉爽是避暑佳地。,2,attraction_culture|attraction_basic,景点,新昌客运站乘专线,前往新昌天烛仙境: 新昌客运站乘专线
诸暨白塔湖,2,绍兴市诸暨市店口镇,08:00-17:00,40元,4.0,白塔湖是诸暨最大的淡水湖，有浙中小洞庭之称。湖中有岛屿数十个，可乘船游览，秋季芦花飘荡景色最美。,2,attraction_culture|attraction_basic,景点,诸暨客运中心乘班车,前往诸暨白塔湖: 诸暨客运中心乘班车
嵊州剡溪,2,绍兴市嵊州市剡溪沿岸,全天,免费,3.9,剡溪是浙东唐诗之路的重要水道。李白、杜甫等诗人曾泛舟剡溪。溪水清澈两岸青山，适合自驾沿溪游览。,2,attraction_culture|attraction_basic,景点,建议自驾,前往嵊州剡溪: 建议自驾
绍兴柯桥古镇,2,绍兴市柯桥区柯桥街道,全天,免费,4.0,柯桥古镇是绍兴近年修复的水乡古镇街区。保留了传统水乡格局，有古桥老屋和现代商业的融合。,2,attraction_culture|attraction_basic,景点,公交5路,前往绍兴柯桥古镇: 公交5路
上虞祝家庄,2,绍兴市上虞区丰惠镇,08:30-16:30,30元,4.0,祝家庄传为祝英台故里，是梁祝爱情故事的发源地之一。景区内有祝府、英台楼等景点。,2,attraction_culture|attraction_basic,景点,上虞区公交,前往上虞祝家庄: 上虞区公交
诸暨东白湖,2,绍兴市诸暨市东白湖镇,全天,免费,3.9,东白湖是诸暨大型水库，湖光山色优美。周边有斯宅古村和千柱屋等景点。适合自驾环湖游览。,2,attraction_culture|attraction_basic,景点,建议自驾,前往诸暨东白湖: 建议自驾
绍兴儿童公园,2,绍兴市越城区解放南路,09:00-17:00,20元,3.8,绍兴儿童公园是绍兴最早的游乐园，有摩天轮、旋转木马等游乐设施。适合带小朋友游玩。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往绍兴儿童公园: 公交1/2路
绍兴镜湖乐园,2,绍兴市越城区镜湖新区,09:30-17:30,120元,4.1,镜湖乐园是绍兴大型水上乐园，有水上滑梯、造浪池、漂流河等设施。夏季消暑好去处。,2,attraction_culture|attraction_basic,景点,公交15路,前往绍兴镜湖乐园: 公交15路
绍兴东方山水乐园,2,绍兴市柯桥区鉴湖路,09:30-17:00,150元,4.0,东方山水乐园是绍兴大型室内主题乐园，有4D影院、互动体验馆等。不受天气影响全年可玩。,2,attraction_culture|attraction_basic,景点,公交5路,前往绍兴东方山水乐园: 公交5路
新昌重阳宫,2,绍兴市新昌县城关镇,08:00-17:00,20元,3.9,重阳宫是新昌著名道观，始建于唐代。宫内古木参天环境清幽，是浙东道教圣地之一。,2,attraction_culture|attraction_basic,景点,新昌公交,前往新昌重阳宫: 新昌公交
绍兴龙华寺,2,绍兴市越城区广宁桥附近,08:00-17:00,免费,3.9,龙华寺是绍兴城内古寺，始建于南朝。寺内有大雄宝殿和藏经楼。毗邻八字桥和广宁桥。,2,attraction_culture|attraction_basic,景点,步行从八字桥可达,前往绍兴龙华寺: 步行从八字桥可达
诸暨斗岩,2,绍兴市诸暨市牌头镇,08:00-17:00,55元,4.1,斗岩是诸暨丹霞地貌代表，以巨岩和奇峰闻名。有斗岩大佛和登天梯等景点，是登山爱好者好去处。,2,attraction_culture|attraction_basic,景点,诸暨客运中心乘班车,前往诸暨斗岩: 诸暨客运中心乘班车
嵊州南山湖,2,绍兴市嵊州市长乐镇,全天,免费,3.8,南山湖是嵊州南部的人工湖，湖光山色秀丽。周边有茶园和竹林，是休闲度假好去处。,2,attraction_culture|attraction_basic,景点,建议自驾,前往嵊州南山湖: 建议自驾
绍兴越国文化博物馆,2,绍兴市越城区鲁迅中路,09:00-16:30,免费,3.9,越国文化博物馆专题展示越国历史文化。有越国青铜器、印纹陶等文物，是了解越文化的好去处。,2,attraction_culture|attraction_basic,景点,步行从鲁迅故里可达,前往绍兴越国文化博物馆: 步行从鲁迅故里可达
绍兴气象博物馆,2,绍兴市越城区气象路,09:00-16:30(周末闭馆),免费,3.7,绍兴气象博物馆是中国首个气象专题博物馆。展示古代气象观测仪器和现代气象科技。,2,attraction_culture|attraction_basic,景点,公交1路,前往绍兴气象博物馆: 公交1路
绍兴市图书馆,2,绍兴市越城区延安路,09:00-20:30(周一闭馆),免费,4.0,绍兴市图书馆是绍兴最大的公共图书馆。有古籍阅览室和绍兴地方文献专区，是研究绍兴文化的好去处。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往绍兴市图书馆: 公交1/2路
绍兴古城墙遗址,2,绍兴市越城区府山周边,全天,免费,3.8,绍兴古城墙始建于春秋越国时期，现存遗址主要在府山周边。迎恩门是唯一修复的城门。,2,attraction_culture|attraction_basic,景点,公交2/5路,前往绍兴古城墙遗址: 公交2/5路
东浦古镇（黄酒小镇）,1,,,,,,1,transport_info,景点,公交5路至东浦站,前往东浦古镇（黄酒小镇）: 公交5路至东浦站
