点赞,特色,耗时,实体类型,经度,课程时长,价格,门票价格,entity_name,名称,产地,来源详情,赞同,文化项目,游玩建议,数据质量,来源数量,天数,交通,适合年龄,收费,贴士,行政区,房型,内容摘要,内容,所属店铺,预约方式,主题,线路名,保护级别,来源平台,时间,分类,地址,标签,适宜季节,entity_id,热度分数,关联内容数,景点,简介,来源,内容分类,开放时间,数据来源,推荐路线,纬度,标题,评论数,信任等级,摘要,推荐游览顺序,来源URL,来源列表,门票数值,评分,最佳季节,图片URL,游玩时长(分钟)
,,,景点,120.657,,,免费,,鲁迅外婆家,,,,,,0.5,3,,建议自驾或乘城乡公交,,,,越城区,,,,,,,,浙江省文物保护单位,,,人文历史,绍兴市越城区孙端镇安桥头村,乡村|古村落|民俗|鲁迅文化,春秋,景点0018,0,2,,鲁迅母亲鲁瑞的娘家。鲁迅童年常随母亲到此小住，《社戏》《故乡》等作品的场景原型。 《社戏》中描写的看社戏、偷罗汉豆等童年趣事均发生于此。村口的包公殿是鲁迅看社戏的地方。,,,08:30-16:30,,,30.0522,,1800.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E9%B2%81%E8%BF%85%E5%A4%96%E5%A9%86%E5%AE%B6%E7%BB%8D%E5%85%B4,
,,,景点,120.95,,,免费,,天姥山,,,,,,0.5,4,,建议自驾或乘新昌城乡公交,,,,新昌县,,,,,,,,,,,自然风光,绍兴市新昌县儒岙镇,唐诗之路|天姥山|李白梦游|民宿|登山|自然风光,春秋,景点0019,0,5,,建造年代: 自然形成 | 文化典故: 浙东唐诗之路的核心节点，450余位唐代诗人留下1500余首诗篇 | 建筑特色: 山间云雾缭绕，天姥寺遗址，登山步道,,,全天开放,,,29.41,,5500.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E5%A4%A9%E5%A7%A5%E5%B1%B1%E7%BB%8D%E5%85%B4,
,,,景点,120.2365,,,免费(部分场馆收费),,西施故里,,,,,,0.5,3,,诸暨市区公交可达,,,,诸暨市,,,,,,,,,,,人文历史,绍兴市诸暨市浣纱中路123号,古建筑|园林|春秋历史|西施|诸暨,春秋,景点0020,0,2,,建造年代: 现存建筑重修于1980-1990年代 | 文化典故: 西施浣纱、卧薪尝胆等历史典故；浣纱石留有东晋王羲之题字 | 建筑特色: 西施殿利用万余件古建筑构件重建，江南园林风格,,,08:00-17:00,,,29.7149,,7200.0,3,,,,comprehensive,,4.2,,https://image.baidu.com/search?word=%E8%A5%BF%E6%96%BD%E6%95%85%E9%87%8C%E7%BB%8D%E5%85%B4,
,,,景点,120.8746,,,免费,,覆卮山,,,,,,0.5,4,,建议自驾,,,,上虞区,,,,,,,,,,,自然风光,绍兴市上虞区岭南乡,上虞|农家乐|古村落|团建|梯田|油菜花|登山|自然风光,春,景点0021,0,6,,建造年代: 自然形成，千年梯田始于宋代 | 文化典故: 谢灵运覆卮典故；冰川石浪为第四纪冰川遗迹 | 建筑特色: 千年古梯田（2.3万块）、冰川石浪、古村落,,,全天开放,,,29.7455,,4600.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E8%A6%86%E5%8D%AE%E5%B1%B1%E7%BB%8D%E5%85%B4,
,,,景点,120.8734,,,免费,,曹娥庙,,,,,,0.5,3,,上虞市区公交可达,,,,上虞区,,,,,,,,,,,宗教场所,绍兴市上虞区曹娥街道,上虞|历史|孝文化|庙宇|曹娥,四季皆宜,景点0022,0,2,,建造年代: 东汉，现存建筑为民国重建 | 文化典故: 被誉为'江南第一庙'，庙内有历代碑刻数十通，包括蔡卞重书的曹娥碑 | 建筑特色: 庙殿巍峨，雕刻精美，正殿壁画描绘曹娥事迹,,,08:00-16:30,,,29.9883,,3100.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E6%9B%B9%E5%A8%A5%E5%BA%99%E7%BB%8D%E5%85%B4,
,,,景点,120.875,,,免费,,中华孝德园,,,,,,0.5,3,,上虞市区公交,,,,上虞区,,,,,,,,,,,主题公园,绍兴市上虞区曹娥街道,上虞|主题公园|亲子|孝文化,四季皆宜,景点0023,0,4,,上虞是中国孝德文化的重要发源地，舜帝和曹娥的孝行故事均发生于此。 大舜庙纪念上古圣王舜帝；虞舜为二十四孝之首，其孝行感动天地。,,,08:30-16:30,,,29.986,,2400.0,3,,,,comprehensive,,3.9,,https://image.baidu.com/search?word=%E4%B8%AD%E5%8D%8E%E5%AD%9D%E5%BE%B7%E5%9B%AD%E7%BB%8D%E5%85%B4,
,,,景点,120.728,,,55元,,百丈飞瀑,,,,,,0.5,3,,嵊州客运中心乘城乡公交,,,,嵊州市,,,,,,,,,,,自然风光,绍兴市嵊州市王院乡,峡谷|嵊州|瀑布|自然风光|避暑,夏,景点0024,0,4,,百丈飞瀑所在峡谷为火山岩地貌，形成于中生代。自古以来为浙东避暑胜地。 瀑布群共九级，主瀑高120余米，为浙东第一高瀑。峡谷内有'百丈潭''龙潭'等深潭。,,,08:00-16:30,,,29.562,,5200.0,3,,,,comprehensive,,4.2,,https://image.baidu.com/search?word=%E7%99%BE%E4%B8%88%E9%A3%9E%E7%80%91%E7%BB%8D%E5%85%B4,
,,,景点,120.718,,,免费,,崇仁古镇,,,,,,0.5,3,,嵊州客运中心乘公交至崇仁镇,,,,嵊州市,,,,,,,,浙江省历史文化名镇,,,古镇街区,绍兴市嵊州市崇仁镇,原生态|古建筑|古镇|嵊州|越剧,四季皆宜,景点0025,0,3,,崇仁古镇始建于唐代，兴盛于明清。是嵊州重要的历史文化名镇。 崇仁是越剧发源地之一，镇内有越剧戏台和越剧文化展示馆。古镇保存了大量明清台门建筑。,,,全天开放,,,29.61,,3800.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%B4%87%E4%BB%81%E5%8F%A4%E9%95%87%E7%BB%8D%E5%85%B4,
,,,景点,120.5517,,,80元,,会稽山兜率天景区,,,,,,0.5,3,,公交专线车至兜率天宫站,,,,柯桥区,,,,,,,,,,,宗教场所,绍兴市柯桥区会稽山,会稽山|佛教文化|兜率天宫|龙华寺,春秋,景点0026,0,3,,会稽山为中国五大镇山之一南镇。龙华寺始建于唐代，兜率天宫为近年新建的佛教建筑。 兜率天宫为弥勒菩萨道场，建筑群宏伟壮观，融合传统佛教建筑与现代设计。,,,08:30-16:30,,,29.9481,,6500.0,3,,,,comprehensive,,4.3,,https://image.baidu.com/search?word=%E4%BC%9A%E7%A8%BD%E5%B1%B1%E5%85%9C%E7%8E%87%E5%A4%A9%E6%99%AF%E5%8C%BA%E7%BB%8D%E5%85%B4,
,,,景点,120.4385,,,40元,,大香林,,,,,,0.5,3,,公交5路至大香林站,,,,柯桥区,,,,,,,,,,,自然风光,绍兴市柯桥区湖塘街道,4A景区|桂花|森林|秋季赏桂|自然风光,秋,景点0027,0,2,,大香林古桂群始植于宋代，其中'中国桂花王'树龄超千年。 千年桂花王树高17米，冠幅20余米，花开时节香飘数里。,,,08:30-16:30,,,30.0154,,4800.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%A4%A7%E9%A6%99%E6%9E%97%E7%BB%8D%E5%85%B4,
,,,景点,120.482,,,180元起,,乔波冰雪世界,,,,,,0.5,3,,公交5路,,,,柯桥区,,,,,,,,,,,休闲娱乐,绍兴市柯桥区鉴湖路,亲子|室内滑雪|柯桥|运动,四季皆宜,景点0028,0,2,,绍兴乔波冰雪世界为室内滑雪馆，2010年开业。 室内滑雪不受季节限制，是绍兴夏季热门避暑去处。,,,10:00-21:00,,,30.0472,,5600.0,3,,,,comprehensive,,4.2,,https://image.baidu.com/search?word=%E4%B9%94%E6%B3%A2%E5%86%B0%E9%9B%AA%E4%B8%96%E7%95%8C%E7%BB%8D%E5%85%B4,
,,,景点,120.573,,,免费,,越王台,,,,,,0.5,3,,公交2/5路至府山公园站,,,,越城区,,,,,,,,浙江省文物保护单位,,,人文历史,绍兴市越城区府山公园内,免费|历史遗址|府山|越王勾践,春秋,景点0029,0,2,,越王勾践（约公元前520-前465年）在此卧薪尝胆、发愤图强，最终灭吴复国。 卧薪尝胆、十年生聚、十年教训的历史典故发生于此。,,,08:00-17:00,,,29.998,,2100.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E8%B6%8A%E7%8E%8B%E5%8F%B0%E7%BB%8D%E5%85%B4,
,,,景点,120.4752,,,免费,,古纤道,,,,,,0.5,3,,乘乌篷船或沿鉴湖步行,,,,柯桥区,,,,,,,,全国重点文物保护单位,,,人文历史,绍兴市柯桥区鉴湖中,古纤道|文物|柯桥|水乡|鉴湖,春秋,景点0030,0,3,,古纤道始建于唐代，为古代漕运纤夫拉船的通道。鉴湖段全长约7.5公里。 '白玉长堤'蜿蜒鉴湖之上，是古代水运交通的珍贵遗存。,,,全天开放,,,30.0485,,3500.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%8F%A4%E7%BA%A4%E9%81%93%E7%BB%8D%E5%85%B4,
,,,景点,120.585,,,30元,,宛委山,,,,,,0.5,3,,公交2/10路至宛委山站,,,,越城区,,,,,,,,会稽山旅游度假区组成部分,,,自然风光,绍兴市越城区会稽山旅游度假区,会稽山|樱花|登山|自然风光,春,景点0031,0,3,,宛委山为会稽山余脉，传说大禹曾在此得'金简玉字书'。王阳明曾在此讲学。 禹穴、阳明洞天为重要文化遗迹。每年3月绍兴樱花节在此举办。,,,08:00-17:00,,,29.978,,3200.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%AE%9B%E5%A7%94%E5%B1%B1%E7%BB%8D%E5%85%B4,
,,,景点,120.622,,,45元,,吼山,,,,,,0.5,3,,公交1路至吼山站,,,,越城区,,,,,,,,浙江省文物保护单位,,,自然风光,绍兴市越城区皋埠街道,山水|桃花|石刻|自然风光,春,景点0032,0,2,,吼山因山形似卧狮怒吼得名。南宋时期在山上开凿摩崖造像。 吼山摩崖造像为浙江省文物保护单位。桃花节是绍兴春日盛事。,,,08:00-17:00,,,29.992,,2800.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E5%90%BC%E5%B1%B1%E7%BB%8D%E5%85%B4,
,,,景点,120.55,,,免费,,镜湖国家湿地公园,,,,,,0.5,3,,公交15路至镜湖公园站,,,,越城区,,,,,,,,国家城市湿地公园,,,自然风光,绍兴市越城区镜湖新区,免费|湿地公园|自然风光|观鸟|骑行,春秋,景点0033,0,2,,镜湖古称鉴湖，为东汉会稽太守马臻主持修建。贺知章故里在镜湖畔。 '镜湖流水漾清波'——李白、杜甫等唐代诗人均有题咏。贺知章'少小离家老大回'即归镜湖。,,,全天开放,,,30.045,,4100.0,3,,,,comprehensive,,4.2,,https://image.baidu.com/search?word=%E9%95%9C%E6%B9%96%E5%9B%BD%E5%AE%B6%E6%B9%BF%E5%9C%B0%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,
,,,景点,120.573,,,免费,,府山公园,,,,,,0.5,3,,公交2/5路至府山公园站,,,,越城区,,,,,,,,浙江省文物保护单位（越王台）,,,自然风光,绍兴市越城区府山街道,俯瞰古城|免费|城市公园|登山|越王勾践,四季皆宜,景点0034,0,2,,府山又称卧龙山，为越国都城中心。越王勾践在此卧薪尝胆。 卧薪尝胆、飞翼楼为越国军事瞭望台遗址。山上有唐宋摩崖石刻群。,,,全天开放,,,29.998,,3600.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%BA%9C%E5%B1%B1%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,
,,,景点,120.568,,,免费,,迎恩门水街,,,,,,0.5,3,,公交2/5路至迎恩门站,,,,越城区,,,,,,,,,,,古镇街区,绍兴市越城区迎恩门,免费|历史街区|夜市|水乡|美食,四季皆宜,景点0035,0,2,,迎恩门始建于南宋，为绍兴古城六大门之一。古代官员在此迎接圣旨。 迎恩门因迎接圣旨得名。近年改造后成为绍兴新的文化休闲地标。,,,全天开放,,,30.005,,2500.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E8%BF%8E%E6%81%A9%E9%97%A8%E6%B0%B4%E8%A1%97%E7%BB%8D%E5%85%B4,
,,,景点,120.578,,,免费,,塔山公园,,,,,,0.5,3,,公交1/2路,,,,越城区,,,,,,,,绍兴市文物保护单位,,,自然风光,绍兴市越城区塔山街道,免费|古塔|城市公园|越城区,四季皆宜,景点0036,0,2,,应天塔始建于梁代，为绍兴标志性古建筑。 应天塔为绍兴城内最高古建筑，历代文人多有题咏。,,,全天开放,,,29.994,,1800.0,3,,,,comprehensive,,3.9,,https://image.baidu.com/search?word=%E5%A1%94%E5%B1%B1%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,
,,,景点,120.583,,,免费,,蕺山公园,,,,,,0.5,3,,步行从书圣故里可达,,,,越城区,,,,,,,,,,,自然风光,绍兴市越城区蕺山街,书圣故里|免费|城市公园|登山,四季皆宜,景点0037,0,2,,王羲之任会稽内史时常登此山。山上蕺草因王羲之采撷而闻名。 蕺山因王羲之得名。山上有蕺山书院旧址。,,,全天开放,,,30.002,,1500.0,3,,,,comprehensive,,3.8,,https://image.baidu.com/search?word=%E8%95%BA%E5%B1%B1%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,
,,,景点,120.63,,,免费,,若耶溪,,,,,,0.5,3,,建议自驾,,,,越城区,,,,,,,,,,,自然风光,绍兴市越城区平水镇,免费|唐诗之路|溪流|自然,春秋,景点0038,0,2,,若耶溪自古为越中名胜。欧冶子曾在此铸剑，西施曾在此浣纱。 '若耶溪傍采莲女，笑隔荷花共人语'——李白。唐代诗人常泛舟若耶溪上吟诗作对。,,,全天开放,,,29.92,,1600.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E8%8B%A5%E8%80%B6%E6%BA%AA%E7%BB%8D%E5%85%B4,
,,,景点,120.493,,,20元,,羊山石佛,,,,,,0.5,3,,公交5路至羊山站,,,,柯桥区,,,,,,,,浙江省文物保护单位,,,宗教场所,绍兴市柯桥区齐贤街道,柯桥|石佛|石窟|隋代,四季皆宜,景点0039,0,2,,始建于隋开皇年间（581-600年），距今1400余年。 羊山石佛与柯岩大佛、新昌大佛并称'越中三大石佛'。,,,08:00-16:30,,,30.079,,2000.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E7%BE%8A%E5%B1%B1%E7%9F%B3%E4%BD%9B%E7%BB%8D%E5%85%B4,
,,,景点,120.478,,,30元,,印山越国王陵,,,,,,0.5,3,,公交3路至印山站,,,,柯桥区,,,,,,,,全国重点文物保护单位,,,人文历史,绍兴市柯桥区兰亭镇,历史|王陵|考古|越国,四季皆宜,景点0040,0,2,,印山大墓为春秋晚期越国王陵，可能是越王允常之墓。 墓室用巨大方木搭建'人'字形结构，为全国首次发现。出土文物丰富。,,,08:30-16:30,,,30.028,,2300.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%8D%B0%E5%B1%B1%E8%B6%8A%E5%9B%BD%E7%8E%8B%E9%99%B5%E7%BB%8D%E5%85%B4,
,,,景点,120.528,,,免费,,东浦古镇（黄酒小镇）,,,,,,0.5,3,,公交5路至东浦站,,,,越城区,,,,,,,,浙江省历史文化名镇,,,古镇街区,绍兴市越城区东浦街道,免费|古镇|水乡|越城|黄酒,春秋,景点0041,0,2,,东浦酿酒史可追溯至宋代。明清时期东浦黄酒行销全国。 东浦是绍兴黄酒核心产区之一。镇内有百年老酒坊可参观。,,,全天开放,,,30.022,,2900.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E4%B8%9C%E6%B5%A6%E5%8F%A4%E9%95%87%EF%BC%88%E9%BB%84%E9%85%92%E5%B0%8F%E9%95%87%EF%BC%89%E7%BB%8D%E5%85%B4,
,,,景点,120.344,,,30元,,诸暨千柱屋,,,,,,0.5,3,,诸暨客运中心乘班车,,,,诸暨市,,,,,,,,全国重点文物保护单位,,,人文历史,绍兴市诸暨市东白湖镇,古建筑|民居|清代|诸暨,四季皆宜,景点0042,0,2,,始建于清嘉庆年间（1796-1820年），为斯氏家族聚居大院。 千柱屋有118间房间和1322根柱子。木雕、砖雕、石雕精美绝伦。,,,08:30-17:00,,,29.568,,2100.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E8%AF%B8%E6%9A%A8%E5%8D%83%E6%9F%B1%E5%B1%8B%E7%BB%8D%E5%85%B4,
,,,景点,120.782,,,60元,,嵊州越剧小镇,,,,,,0.5,5,,嵊州客运中心乘专线,,,,嵊州市,,,,,,,,,,,主题公园,绍兴市嵊州市甘霖镇,主题|主题小镇|嵊州|文化体验|民宿|越剧,四季皆宜,景点0043,0,3,,越剧小镇是以越剧文化为主题的文化旅游小镇。有越剧戏台、越剧博物馆、越剧工坊等，可观看越剧演出和体验越剧化妆。,,,09:00-17:00,,,29.566,,3200.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%B5%8A%E5%B7%9E%E8%B6%8A%E5%89%A7%E5%B0%8F%E9%95%87%E7%BB%8D%E5%85%B4,
,,,景点,120.745,,,168元起,,嵊州温泉城,,,,,,0.5,3,,嵊州客运中心乘专线,,,,嵊州市,,,,,,,,,,,休闲娱乐,绍兴市嵊州市崇仁镇,休闲|嵊州|度假|温泉,冬,景点0044,0,2,,嵊州温泉城是绍兴最大的温泉度假区，有室内外温泉泡池数十个。冬季泡温泉暖身养生，搭配崇仁古镇一日游。,,,10:00-22:00,,,29.588,,3800.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E5%B5%8A%E5%B7%9E%E6%B8%A9%E6%B3%89%E5%9F%8E%E7%BB%8D%E5%85%B4,
,,,景点,120.368,,,免费,,斯宅古村,,,,,,0.5,3,,建议自驾,,,,诸暨市,,,,,,,,中国传统村落,,,古镇街区,绍兴市诸暨市东白湖镇斯宅村,千柱屋|原生态|古村落|诸暨,春秋,景点0045,0,2,,斯宅古村为斯氏家族聚居地，清代鼎盛时期人才辈出。 斯宅村以耕读传家。千柱屋主人斯元儒为清代巨商。,,,全天开放,,,29.552,,1500.0,3,,,,comprehensive,,4.0,,https://image.baidu.com/search?word=%E6%96%AF%E5%AE%85%E5%8F%A4%E6%9D%91%E7%BB%8D%E5%85%B4,
