entity_id,名称,实体类型,分类,地址,行政区,纬度,经度,开放时间,门票价格,门票数值,游玩时长(分钟),评分,评论数,标签,简介,交通,图片URL,保护级别,适宜季节,热度分数,数据质量,信任等级,来源列表,来源数量,关联内容数
景点0017,八字桥,景点,景点,绍兴市越城区八字桥直街,越城区,29.9996,120.5876,全天开放,免费,,,4.2,4200.0,免费|南宋|古桥|文物|水乡,始建于南宋嘉泰年间（1201-1204年），至今800余年。八字桥是中国最早的'立交桥'式桥梁。 因两桥成'八'字形跨三河四岸得名，是中国古代城市桥梁的杰作，被《中国科学技术史》收录。,步行或公交至中兴路人民路口,https://image.baidu.com/search?word=%E5%85%AB%E5%AD%97%E6%A1%A5%E7%BB%8D%E5%85%B4,全国重点文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0018,秋瑾故居,景点,景点,绍兴市越城区和畅堂35号,越城区,29.9927,120.5784,08:30-16:30,免费,,,4.2,3200.0,名人故居|秋瑾|红色旅游|辛亥革命,秋瑾（1875-1907），号鉴湖女侠，辛亥革命先驱、中国女权运动先驱。这里是她的出生地和革命活动据点。 秋瑾在此读书习武，后赴日留学加入同盟会。1907年回绍兴主持大通学堂，策划浙皖起义，被捕后就义于绍兴轩亭口。,公交1/2路,https://image.baidu.com/search?word=%E7%A7%8B%E7%91%BE%E6%95%85%E5%B1%85%E7%BB%8D%E5%85%B4,全国重点文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0019,周恩来祖居,景点,景点,绍兴市越城区劳动路369号,越城区,29.9991,120.5825,08:30-16:30,免费,,,4.3,5100.0,名人故居|周恩来|红色旅游,周恩来（1898-1976），祖籍绍兴。其祖父周殿魁曾任绍兴府刑名师爷，此处为周氏家族在绍兴的祖宅。 周恩来虽生于淮安，但多次提到'我是绍兴人'。1939年曾回绍兴祭祖，并在祖居内发表抗日演讲。,公交1/2路至城市广场站,https://image.baidu.com/search?word=%E5%91%A8%E6%81%A9%E6%9D%A5%E7%A5%96%E5%B1%85%E7%BB%8D%E5%85%B4,浙江省文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0020,蔡元培故居,景点,景点,绍兴市越城区笔飞弄13号,越城区,29.9995,120.581,08:30-16:30,免费,,,4.1,2800.0,免费|名人故居|教育家|蔡元培,蔡元培（1868-1940），绍兴人，曾任北京大学校长、教育总长。是中国近代教育改革的先驱。 蔡元培在此出生并度过青少年时代。后任北大校长，提出'思想自由、兼容并包'的办学方针。,公交1/2路,https://image.baidu.com/search?word=%E8%94%A1%E5%85%83%E5%9F%B9%E6%95%85%E5%B1%85%E7%BB%8D%E5%85%B4,全国重点文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0021,青藤书屋,景点,景点,绍兴市越城区前观巷大乘弄10号,越城区,29.9934,120.5755,08:30-16:30,免费,,,4.1,2500.0,书画|徐渭|文人园林|明代,徐渭（1521-1593），号青藤道士，明代著名书画家、文学家、戏曲家。被郑板桥、齐白石尊为'青藤门下走狗'。 徐渭一生坎坷，在此读书作画。手植青藤至今葱郁，书屋因此得名。其大写意画风影响至今。,公交1/2路,https://image.baidu.com/search?word=%E9%9D%92%E8%97%A4%E4%B9%A6%E5%B1%8B%E7%BB%8D%E5%85%B4,全国重点文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0022,鲁迅外婆家,景点,景点,绍兴市越城区孙端镇安桥头村,越城区,30.0522,120.657,08:30-16:30,免费,,,4.0,1800.0,乡村|古村落|民俗|鲁迅文化,鲁迅母亲鲁瑞的娘家。鲁迅童年常随母亲到此小住，《社戏》《故乡》等作品的场景原型。 《社戏》中描写的看社戏、偷罗汉豆等童年趣事均发生于此。村口的包公殿是鲁迅看社戏的地方。,建议自驾或乘城乡公交,https://image.baidu.com/search?word=%E9%B2%81%E8%BF%85%E5%A4%96%E5%A9%86%E5%AE%B6%E7%BB%8D%E5%85%B4,浙江省文物保护单位,春秋,0,0.5,3,comprehensive,3,2
景点0023,中华孝德园,景点,景点,绍兴市上虞区曹娥街道,上虞区,29.986,120.875,08:30-16:30,免费,,,3.9,2400.0,上虞|主题公园|亲子|孝文化,上虞是中国孝德文化的重要发源地，舜帝和曹娥的孝行故事均发生于此。 大舜庙纪念上古圣王舜帝；虞舜为二十四孝之首，其孝行感动天地。,上虞市区公交,https://image.baidu.com/search?word=%E4%B8%AD%E5%8D%8E%E5%AD%9D%E5%BE%B7%E5%9B%AD%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0024,百丈飞瀑,景点,景点,绍兴市嵊州市王院乡,嵊州市,29.562,120.728,08:00-16:30,55元,,,4.2,5200.0,峡谷|嵊州|瀑布|自然风光|避暑,百丈飞瀑所在峡谷为火山岩地貌，形成于中生代。自古以来为浙东避暑胜地。 瀑布群共九级，主瀑高120余米，为浙东第一高瀑。峡谷内有'百丈潭''龙潭'等深潭。,嵊州客运中心乘城乡公交,https://image.baidu.com/search?word=%E7%99%BE%E4%B8%88%E9%A3%9E%E7%80%91%E7%BB%8D%E5%85%B4,,夏,0,0.5,3,comprehensive,3,2
景点0025,崇仁古镇,景点,景点,绍兴市嵊州市崇仁镇,嵊州市,29.61,120.718,全天开放,免费,,,4.1,3800.0,原生态|古建筑|古镇|嵊州|越剧,崇仁古镇始建于唐代，兴盛于明清。是嵊州重要的历史文化名镇。 崇仁是越剧发源地之一，镇内有越剧戏台和越剧文化展示馆。古镇保存了大量明清台门建筑。,嵊州客运中心乘公交至崇仁镇,https://image.baidu.com/search?word=%E5%B4%87%E4%BB%81%E5%8F%A4%E9%95%87%E7%BB%8D%E5%85%B4,浙江省历史文化名镇,四季皆宜,0,0.5,3,comprehensive,3,2
景点0026,会稽山兜率天景区,景点,景点,绍兴市柯桥区会稽山,柯桥区,29.9481,120.5517,08:30-16:30,80元,,,4.3,6500.0,会稽山|佛教文化|兜率天宫|龙华寺,会稽山为中国五大镇山之一南镇。龙华寺始建于唐代，兜率天宫为近年新建的佛教建筑。 兜率天宫为弥勒菩萨道场，建筑群宏伟壮观，融合传统佛教建筑与现代设计。,公交专线车至兜率天宫站,https://image.baidu.com/search?word=%E4%BC%9A%E7%A8%BD%E5%B1%B1%E5%85%9C%E7%8E%87%E5%A4%A9%E6%99%AF%E5%8C%BA%E7%BB%8D%E5%85%B4,,春秋,0,0.5,3,comprehensive,3,2
景点0027,大香林,景点,景点,绍兴市柯桥区湖塘街道,柯桥区,30.0154,120.4385,08:30-16:30,40元,,,4.1,4800.0,4A景区|桂花|森林|秋季赏桂|自然风光,大香林古桂群始植于宋代，其中'中国桂花王'树龄超千年。 千年桂花王树高17米，冠幅20余米，花开时节香飘数里。,公交5路至大香林站,https://image.baidu.com/search?word=%E5%A4%A7%E9%A6%99%E6%9E%97%E7%BB%8D%E5%85%B4,,秋,0,0.5,3,comprehensive,3,2
景点0028,乔波冰雪世界,景点,景点,绍兴市柯桥区鉴湖路,柯桥区,30.0472,120.482,10:00-21:00,180元起,,,4.2,5600.0,亲子|室内滑雪|柯桥|运动,绍兴乔波冰雪世界为室内滑雪馆，2010年开业。 室内滑雪不受季节限制，是绍兴夏季热门避暑去处。,公交5路,https://image.baidu.com/search?word=%E4%B9%94%E6%B3%A2%E5%86%B0%E9%9B%AA%E4%B8%96%E7%95%8C%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0029,越王台,景点,景点,绍兴市越城区府山公园内,越城区,29.998,120.573,08:00-17:00,免费,,,4.0,2100.0,免费|历史遗址|府山|越王勾践,越王勾践（约公元前520-前465年）在此卧薪尝胆、发愤图强，最终灭吴复国。 卧薪尝胆、十年生聚、十年教训的历史典故发生于此。,公交2/5路至府山公园站,https://image.baidu.com/search?word=%E8%B6%8A%E7%8E%8B%E5%8F%B0%E7%BB%8D%E5%85%B4,浙江省文物保护单位,春秋,0,0.5,3,comprehensive,3,2
景点0030,古纤道,景点,景点,绍兴市柯桥区鉴湖中,柯桥区,30.0485,120.4752,全天开放,免费,,,4.1,3500.0,古纤道|文物|柯桥|水乡|鉴湖,古纤道始建于唐代，为古代漕运纤夫拉船的通道。鉴湖段全长约7.5公里。 '白玉长堤'蜿蜒鉴湖之上，是古代水运交通的珍贵遗存。,乘乌篷船或沿鉴湖步行,https://image.baidu.com/search?word=%E5%8F%A4%E7%BA%A4%E9%81%93%E7%BB%8D%E5%85%B4,全国重点文物保护单位,春秋,0,0.5,3,comprehensive,3,2
景点0031,宛委山,景点,景点,绍兴市越城区会稽山旅游度假区,越城区,29.978,120.585,08:00-17:00,30元,,,4.1,3200.0,会稽山|樱花|登山|自然风光,宛委山为会稽山余脉，传说大禹曾在此得'金简玉字书'。王阳明曾在此讲学。 禹穴、阳明洞天为重要文化遗迹。每年3月绍兴樱花节在此举办。,公交2/10路至宛委山站,https://image.baidu.com/search?word=%E5%AE%9B%E5%A7%94%E5%B1%B1%E7%BB%8D%E5%85%B4,会稽山旅游度假区组成部分,春,0,0.5,3,comprehensive,3,3
景点0032,吼山,景点,景点,绍兴市越城区皋埠街道,越城区,29.992,120.622,08:00-17:00,45元,,,4.0,2800.0,山水|桃花|石刻|自然风光,吼山因山形似卧狮怒吼得名。南宋时期在山上开凿摩崖造像。 吼山摩崖造像为浙江省文物保护单位。桃花节是绍兴春日盛事。,公交1路至吼山站,https://image.baidu.com/search?word=%E5%90%BC%E5%B1%B1%E7%BB%8D%E5%85%B4,浙江省文物保护单位,春,0,0.5,3,comprehensive,3,2
景点0033,镜湖国家湿地公园,景点,景点,绍兴市越城区镜湖新区,越城区,30.045,120.55,全天开放,免费,,,4.2,4100.0,免费|湿地公园|自然风光|观鸟|骑行,镜湖古称鉴湖，为东汉会稽太守马臻主持修建。贺知章故里在镜湖畔。 '镜湖流水漾清波'——李白、杜甫等唐代诗人均有题咏。贺知章'少小离家老大回'即归镜湖。,公交15路至镜湖公园站,https://image.baidu.com/search?word=%E9%95%9C%E6%B9%96%E5%9B%BD%E5%AE%B6%E6%B9%BF%E5%9C%B0%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,国家城市湿地公园,春秋,0,0.5,3,comprehensive,3,2
景点0034,府山公园,景点,景点,绍兴市越城区府山街道,越城区,29.998,120.573,全天开放,免费,,,4.1,3600.0,俯瞰古城|免费|城市公园|登山|越王勾践,府山又称卧龙山，为越国都城中心。越王勾践在此卧薪尝胆。 卧薪尝胆、飞翼楼为越国军事瞭望台遗址。山上有唐宋摩崖石刻群。,公交2/5路至府山公园站,https://image.baidu.com/search?word=%E5%BA%9C%E5%B1%B1%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,浙江省文物保护单位（越王台）,四季皆宜,0,0.5,3,comprehensive,3,2
景点0035,迎恩门水街,景点,景点,绍兴市越城区迎恩门,越城区,30.005,120.568,全天开放,免费,,,4.0,2500.0,免费|历史街区|夜市|水乡|美食,迎恩门始建于南宋，为绍兴古城六大门之一。古代官员在此迎接圣旨。 迎恩门因迎接圣旨得名。近年改造后成为绍兴新的文化休闲地标。,公交2/5路至迎恩门站,https://image.baidu.com/search?word=%E8%BF%8E%E6%81%A9%E9%97%A8%E6%B0%B4%E8%A1%97%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0036,塔山公园,景点,景点,绍兴市越城区塔山街道,越城区,29.994,120.578,全天开放,免费,,,3.9,1800.0,免费|古塔|城市公园|越城区,应天塔始建于梁代，为绍兴标志性古建筑。 应天塔为绍兴城内最高古建筑，历代文人多有题咏。,公交1/2路,https://image.baidu.com/search?word=%E5%A1%94%E5%B1%B1%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,绍兴市文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0037,蕺山公园,景点,景点,绍兴市越城区蕺山街,越城区,30.002,120.583,全天开放,免费,,,3.8,1500.0,书圣故里|免费|城市公园|登山,王羲之任会稽内史时常登此山。山上蕺草因王羲之采撷而闻名。 蕺山因王羲之得名。山上有蕺山书院旧址。,步行从书圣故里可达,https://image.baidu.com/search?word=%E8%95%BA%E5%B1%B1%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0038,若耶溪,景点,景点,绍兴市越城区平水镇,越城区,29.92,120.63,全天开放,免费,,,4.0,1600.0,免费|唐诗之路|溪流|自然,若耶溪自古为越中名胜。欧冶子曾在此铸剑，西施曾在此浣纱。 '若耶溪傍采莲女，笑隔荷花共人语'——李白。唐代诗人常泛舟若耶溪上吟诗作对。,建议自驾,https://image.baidu.com/search?word=%E8%8B%A5%E8%80%B6%E6%BA%AA%E7%BB%8D%E5%85%B4,,春秋,0,0.5,3,comprehensive,3,2
景点0039,羊山石佛,景点,景点,绍兴市柯桥区齐贤街道,柯桥区,30.079,120.493,08:00-16:30,20元,,,4.0,2000.0,柯桥|石佛|石窟|隋代,始建于隋开皇年间（581-600年），距今1400余年。 羊山石佛与柯岩大佛、新昌大佛并称'越中三大石佛'。,公交5路至羊山站,https://image.baidu.com/search?word=%E7%BE%8A%E5%B1%B1%E7%9F%B3%E4%BD%9B%E7%BB%8D%E5%85%B4,浙江省文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0040,印山越国王陵,景点,景点,绍兴市柯桥区兰亭镇,柯桥区,30.028,120.478,08:30-16:30,30元,,,4.1,2300.0,历史|王陵|考古|越国,印山大墓为春秋晚期越国王陵，可能是越王允常之墓。 墓室用巨大方木搭建'人'字形结构，为全国首次发现。出土文物丰富。,公交3路至印山站,https://image.baidu.com/search?word=%E5%8D%B0%E5%B1%B1%E8%B6%8A%E5%9B%BD%E7%8E%8B%E9%99%B5%E7%BB%8D%E5%85%B4,全国重点文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0041,东浦古镇（黄酒小镇）,景点,景点,绍兴市越城区东浦街道,越城区,30.022,120.528,全天开放,免费,,,4.1,2900.0,免费|古镇|水乡|越城|黄酒,东浦酿酒史可追溯至宋代。明清时期东浦黄酒行销全国。 东浦是绍兴黄酒核心产区之一。镇内有百年老酒坊可参观。,公交5路至东浦站,https://image.baidu.com/search?word=%E4%B8%9C%E6%B5%A6%E5%8F%A4%E9%95%87%EF%BC%88%E9%BB%84%E9%85%92%E5%B0%8F%E9%95%87%EF%BC%89%E7%BB%8D%E5%85%B4,浙江省历史文化名镇,春秋,0,0.5,3,comprehensive,3,2
景点0042,诸暨千柱屋,景点,景点,绍兴市诸暨市东白湖镇,诸暨市,29.568,120.344,08:30-17:00,30元,,,4.1,2100.0,古建筑|民居|清代|诸暨,始建于清嘉庆年间（1796-1820年），为斯氏家族聚居大院。 千柱屋有118间房间和1322根柱子。木雕、砖雕、石雕精美绝伦。,诸暨客运中心乘班车,https://image.baidu.com/search?word=%E8%AF%B8%E6%9A%A8%E5%8D%83%E6%9F%B1%E5%B1%8B%E7%BB%8D%E5%85%B4,全国重点文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0043,嵊州越剧小镇,景点,景点,绍兴市嵊州市甘霖镇,嵊州市,29.566,120.782,09:00-17:00,60元,,,4.2,3200.0,主题小镇|嵊州|文化体验|越剧,越剧小镇是以越剧文化为主题的文化旅游小镇。有越剧戏台、越剧博物馆、越剧工坊等，可观看越剧演出和体验越剧化妆。,嵊州客运中心乘专线,https://image.baidu.com/search?word=%E5%B5%8A%E5%B7%9E%E8%B6%8A%E5%89%A7%E5%B0%8F%E9%95%87%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,4,2
景点0044,嵊州温泉城,景点,景点,绍兴市嵊州市崇仁镇,嵊州市,29.588,120.745,10:00-22:00,168元起,,,4.1,3800.0,休闲|嵊州|度假|温泉,嵊州温泉城是绍兴最大的温泉度假区，有室内外温泉泡池数十个。冬季泡温泉暖身养生，搭配崇仁古镇一日游。,嵊州客运中心乘专线,https://image.baidu.com/search?word=%E5%B5%8A%E5%B7%9E%E6%B8%A9%E6%B3%89%E5%9F%8E%E7%BB%8D%E5%85%B4,,冬,0,0.5,3,comprehensive,3,2
景点0045,斯宅古村,景点,景点,绍兴市诸暨市东白湖镇斯宅村,诸暨市,29.552,120.368,全天开放,免费,,,4.0,1500.0,千柱屋|原生态|古村落|诸暨,斯宅古村为斯氏家族聚居地，清代鼎盛时期人才辈出。 斯宅村以耕读传家。千柱屋主人斯元儒为清代巨商。,建议自驾,https://image.baidu.com/search?word=%E6%96%AF%E5%AE%85%E5%8F%A4%E6%9D%91%E7%BB%8D%E5%85%B4,中国传统村落,春秋,0,0.5,3,comprehensive,3,2
景点0046,绍兴非遗馆,景点,景点,绍兴市越城区人民西路,越城区,29.996,120.574,09:00-16:30(周一闭馆),免费,,,4.0,1700.0,免费|展览|文化|非遗,绍兴拥有国家级非遗项目26项，居全国地级市前列。 绍兴非遗馆是了解绍兴传统文化的最佳窗口。可体验黄酒酿造、书法临摹等互动项目。,公交1/2路,https://image.baidu.com/search?word=%E7%BB%8D%E5%85%B4%E9%9D%9E%E9%81%97%E9%A6%86%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0047,绍兴城市广场,景点,景点,绍兴市越城区胜利西路,越城区,29.998,120.575,全天开放,免费,,,4.0,3200.0,免费|地标|城市广场|夜景,绍兴城市广场是绍兴市中心地标，广场上有大善塔和音乐喷泉。夜晚灯光璀璨，是市民休闲和游客打卡的热门地点。,公交1/2/5路至城市广场站,https://image.baidu.com/search?word=%E7%BB%8D%E5%85%B4%E5%9F%8E%E5%B8%82%E5%B9%BF%E5%9C%BA%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0048,迪荡湖公园,景点,景点,绍兴市越城区迪荡新城,越城区,30.01,120.596,全天开放,免费,,,4.1,2800.0,免费|城市公园|湖景|跑步|骑行,迪荡湖是绍兴新城区的城市湖泊公园，有环湖跑道和自行车道。湖边有咖啡馆和餐厅，是市民休闲新地标。,公交15路至迪荡湖站,https://image.baidu.com/search?word=%E8%BF%AA%E8%8D%A1%E6%B9%96%E5%85%AC%E5%9B%AD%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0049,会稽山阳明洞天,景点,景点,绍兴市越城区会稽山,越城区,29.974,120.588,08:00-17:00,含在宛委山门票内,,,4.0,1200.0,会稽山|历史遗迹|心学|王阳明,王阳明（1472-1529），绍兴余姚人，明代心学大师。曾在此洞讲学。 王阳明在洞中悟出'知行合一'的心学精髓。洞内有历代文人题刻。,公交2/10路至宛委山,https://image.baidu.com/search?word=%E4%BC%9A%E7%A8%BD%E5%B1%B1%E9%98%B3%E6%98%8E%E6%B4%9E%E5%A4%A9%E7%BB%8D%E5%85%B4,浙江省文物保护单位,春秋,0,0.5,3,comprehensive,3,2
景点0050,越王城遗址,景点,景点,绍兴市越城区府山街道,越城区,29.997,120.572,08:00-17:00,免费,,,3.9,900.0,府山|考古|越国|遗址,越王城为春秋越国都城。勾践在此卧薪尝胆、十年生聚。 越王城是越国政治军事中心。遗址出土了越国青铜器、陶器等重要文物。,公交2/5路至府山公园,https://image.baidu.com/search?word=%E8%B6%8A%E7%8E%8B%E5%9F%8E%E9%81%97%E5%9D%80%E7%BB%8D%E5%85%B4,全国重点文物保护单位,四季皆宜,0,0.5,3,comprehensive,3,2
景点0051,绍兴名人广场,景点,景点,绍兴市越城区胜利西路,越城区,,,全天,免费,,,3.8,800.0,免费|名人雕塑|城市广场,广场建于2000年代，集中展示绍兴历代名人风采。 广场上有大禹、勾践、王羲之、陆游、徐渭、秋瑾、鲁迅、蔡元培、周恩来等名人雕塑。,公交1/2路至城市广场站,,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0052,绍兴环城河,景点,景点,绍兴市越城区环城河沿线,越城区,,,全天,免费,,,4.0,1500.0,免费|夜景|散步|水系|环城,环城河为绍兴古城护城河，历史悠久。近年改造为城市景观带。 环城河是绍兴水城格局的重要组成部分。沿河可看到八字桥、广宁桥等多座古桥。,沿环城路多个入口,,,四季皆宜,0,0.5,3,comprehensive,3,4
景点0053,稽山公园,景点,景点,绍兴市越城区稽山路,越城区,,,全天,免费,,,3.8,900.0,免费|城市公园|越城区,稽山公园是越城区的社区公园，以会稽山文化为主题。园内有小桥流水和亭台楼阁，是周边居民休闲好去处。,公交2路,,,四季皆宜,0,0.5,3,comprehensive,3,2
景点0054,上虞曹娥江,景点,景点,绍兴市上虞区曹娥江沿岸,上虞区,,,全天,免费,,,3.9,1100.0,上虞|免费|江河|自然,曹娥江因汉代孝女曹娥得名。沿岸有曹娥庙和中华孝德园。 曹娥投江救父的故事流传千年。曹娥江不仅是自然景观也是孝文化象征。,上虞区公交,,,春秋,0,0.5,3,comprehensive,3,2
景点0055,新昌天烛仙境,景点,景点,绍兴市新昌县澄潭镇,新昌县,,,08:00-17:00,50元,,,4.0,1400.0,峡谷|新昌|湖泊|自然风光,景区为近年开发，以丹霞地貌和清澈湖水为特色。 天烛峰形似蜡烛得名。湖水清澈见底被称为小九寨。,新昌客运站乘专线,,,夏秋,0,0.5,3,comprehensive,3,2
