名称,简介,文化典故,保护级别,信任等级,数据来源
绍兴非遗馆,绍兴非遗馆集中展示绍兴各级非物质文化遗产项目。有黄酒酿造、越剧、嵊州竹编、花雕制作等非遗项目的实物和互动体验。,,,2,generator_attraction_basic|generator_attraction_culture
绍兴城市广场,绍兴城市广场是绍兴市中心地标，广场上有大善塔和音乐喷泉。夜晚灯光璀璨，是市民休闲和游客打卡的热门地点。,,,2,generator_attraction_basic|generator_attraction_culture
迪荡湖公园,迪荡湖是绍兴新城区的城市湖泊公园，有环湖跑道和自行车道。湖边有咖啡馆和餐厅，是市民休闲新地标。,,,2,generator_attraction_basic|generator_attraction_culture
会稽山阳明洞天,阳明洞天是王阳明讲学论道之处，为心学发源地之一。洞内有王阳明手书'阳明洞天'石刻。,,,2,generator_attraction_basic|generator_attraction_culture
越王城遗址,越王城遗址是春秋越国都城遗址，位于府山南麓。遗址出土大量越国文物，是研究越文化的重要考古遗址。,,,2,generator_attraction_basic|generator_attraction_culture
绍兴黄酒酿造技艺,以鉴湖水、糯米、麦曲为原料，经14道工序。开耙是关键技术。,,,1,generator_attraction_culture
越剧,中国第二大剧种，唱腔清悠婉丽。代表剧目梁祝、红楼梦。,,,1,generator_attraction_culture
绍兴花雕制作技艺,酒坛彩绘含人物花鸟山水，女儿红状元红最著名。,,,1,generator_attraction_culture
绍兴师爷文化,绍兴师爷以刑名钱谷技能闻名，体现精明务实性格。,,,1,generator_attraction_culture
大禹祭典,每年清明公祭大禹陵。仪仗庄严，击鼓鸣钟献酒献舞。,,,1,generator_attraction_culture
绍兴乌篷船制作技艺,选用老杉木，经锯板刨光拼装捻缝涂油制成。船体轻盈。,,,1,generator_attraction_culture
绍兴水乡社戏,庙台或临水戏台演出，以越剧绍剧为主。,,,1,generator_attraction_culture
绍兴锡器制作技艺,含熔化浇铸锻打焊接雕刻。锡壶锡杯为传统产品。,,,1,generator_attraction_culture
嵊州竹编,以精细著称，可编人物动物花鸟立体造型。,,,1,generator_attraction_culture
新昌调腔,以高腔为主唱腔高亢激越，被誉为中国戏曲活化石。,,,1,generator_attraction_culture
绍兴目连戏,以目连救母故事为主线，穿插特技表演。,,,1,generator_attraction_culture
绍兴莲花落,以绍兴方言演唱，一人领唱众人帮腔，语言幽默风趣。,,,1,generator_attraction_culture
绍兴平湖调,用绍兴官话演唱旋律优美典雅。琵琶三弦扬琴二胡伴奏。,,,1,generator_attraction_culture
绍兴祝福仪式,腊月廿三至除夕举行。供奉三牲年糕祈求来年平安。,,,1,generator_attraction_culture
绍兴童谣,摇啊摇摇到外婆桥为代表作。语言质朴韵律优美。,,,1,generator_attraction_culture
绍兴铜雕,线刻浮雕镂空等技法。以精细细腻著称。,,,1,generator_attraction_culture
绍兴扇艺,以纸折扇为主扇面有名家书画。,,,1,generator_attraction_culture
绍兴水乡婚俗,迎亲乘乌篷船而行。安昌古镇保留水上婚礼表演。,,,1,generator_attraction_culture
绍兴乌干菜制作技艺,用芥菜腌制晒干色泽乌黑香气浓郁。绍兴有乌干菜白米饭的俗语。,,,1,generator_attraction_culture
诸暨西路乱弹,以高腔为主唱腔高亢激越，保留古老戏曲元素。,,,1,generator_attraction_culture
嵊州根雕,以七分天然三分人工为理念。产品远销海内外。,,,1,generator_attraction_culture
绍兴端午习俗,赛龙舟吃粽子挂艾草。鉴湖和环城河举办龙舟赛。,,,1,generator_attraction_culture
绍兴中秋习俗,鉴湖泛舟赏月和沈园月下听曲是特色。,,,1,generator_attraction_culture
绍兴重阳习俗,登会稽山和府山。菊花酒用黄酒浸泡菊花制成。,,,1,generator_attraction_culture
越窑青瓷烧制技艺,以类玉似冰的釉色著称。唐代陆龟蒙赞九秋风露越窑开夺得千峰翠色来。,,,1,generator_attraction_culture
绍兴石桥营造技艺,含梁桥拱桥八字桥等多种形式，选石雕凿架设等技艺。,,,1,generator_attraction_culture
绍兴水乡船歌,以绍兴方言演唱，内容多为水乡生活和爱情故事。,,,1,generator_attraction_culture
绍兴社日习俗,搭台唱戏祭祀土地神聚餐。农村最热闹的传统节日。,,,1,generator_attraction_culture
绍兴剪纸,题材多为水乡风光戏曲人物花鸟鱼虫。线条细腻造型生动。,,,1,generator_attraction_culture
绍兴香榧文化,香榧是特产坚果。千年香榧林在稽东镇最老香榧树1500余年。,,,1,generator_attraction_culture
