名称,城市,行政区,地址,开放时间,门票价格,游玩时长,评分,评论数,标签,分类,简介,交通,适宜季节,热度分数,拥挤程度,数据质量,来源URL,更新时间
大禹陵,绍兴,越城区,绍兴市越城区会稽山麓,08:00-17:00,50元,,4.3,,大禹治水|帝王陵寝|祭祀|会稽山|碑刻,人文历史,大禹陵是中华民族始祖大禹的陵寝之地，每年清明有隆重的祭禹大典。景区含禹陵、禹庙、禹祠三部分。,公交：2路、10路至大禹陵站,春秋,61.6,中,92%,csv_import:大禹陵,2026-06-02T21:11:00.201871
秋瑾故居,绍兴,越城区,绍兴市越城区和畅堂35号,08:30-16:30,免费,,4.2,,秋瑾|辛亥革命|名人故居|免费|红色旅游,人文历史,秋瑾故居是辛亥革命先驱秋瑾的出生地和革命活动场所，展示了秋瑾生平事迹和清末革命历史。,公交：1路、2路,春夏秋冬,60.4,中,92%,csv_import:秋瑾故居,2026-06-02T21:11:00.175465
百丈飞瀑,绍兴,嵊州市,绍兴市嵊州市王院乡,08:00-16:30,55元,,4.2,,瀑布|峡谷|嵊州|自然风光|避暑,自然风光,百丈飞瀑是嵊州著名自然景观，主瀑高约120米，雨季水量充沛时气势磅礴。景区峡谷幽深，夏季凉爽宜人。,嵊州客运中心乘城乡公交,夏,60.4,中,92%,csv_import:百丈飞瀑,2026-06-02T21:11:00.180118
天姥山,绍兴,新昌县,绍兴市新昌县儒岙镇,全天开放,免费,,4.2,,李白梦游|唐诗之路|登山|新昌|自然风光,自然风光,天姥山因李白《梦游天姥吟留别》而名扬天下，是浙东唐诗之路上的重要节点。山间云雾缭绕，恍若仙境。,建议自驾或乘新昌城乡公交,春秋,60.4,中,92%,csv_import:天姥山,2026-06-02T21:11:00.185483
西施故里,绍兴,诸暨市,绍兴市诸暨市浣纱中路123号,08:00-17:00,免费,,4.2,,西施|春秋历史|古建筑|诸暨|园林,自然风光,西施故里是春秋时期美女西施的出生地，包含西施殿、浣纱石等景点。景区依江而建，江南园林风格。,诸暨市区公交可达,春秋,60.4,中,92%,csv_import:西施故里,2026-06-02T21:11:00.189964
八字桥,绍兴,越城区,绍兴市越城区八字桥直街,全天开放,免费,,4.2,,古桥|南宋|水乡|文物|免费,自然风光,"八字桥是绍兴最古老的城市石桥之一，始建于南宋，因两桥成""八""字形跨河而建得名，是中国古代桥梁建筑精品。",步行或公交至中兴路人民路口,春秋,60.4,中,92%,csv_import:八字桥,2026-06-02T21:11:00.198037
青藤书屋,绍兴,越城区,绍兴市越城区前观巷大乘弄10号,08:30-16:30,免费,,4.1,,徐渭|文人园林|明代|书画|免费,人文历史,青藤书屋是明代书画家徐渭的故居，院内有徐渭手植青藤，古朴清幽，文人气息浓厚。,公交：1路、2路,春夏秋冬,59.2,中,92%,csv_import:青藤书屋,2026-06-02T21:11:00.171418
蔡元培故居,绍兴,越城区,绍兴市越城区笔飞弄13号,08:30-16:30,免费,,4.1,,蔡元培|教育家|名人故居|免费,人文历史,蔡元培故居是著名教育家蔡元培先生的诞生地，展示了蔡元培先生的生平事迹和教育思想。,公交：1路、2路,春夏秋冬,59.2,中,92%,csv_import:蔡元培故居,2026-06-02T21:11:00.172736
崇仁古镇,绍兴,嵊州市,绍兴市嵊州市崇仁镇,全天开放,免费,,4.1,,古镇|嵊州|古建筑|越剧|原生态,人文历史,崇仁古镇是嵊州保存完好的千年古镇，以明清古建筑群和越剧文化闻名。古镇风貌原始淳朴，尚未过度商业化。,嵊州客运中心乘公交至崇仁镇,春秋,59.2,中,92%,csv_import:崇仁古镇,2026-06-02T21:11:00.178619
覆卮山,绍兴,上虞区,绍兴市上虞区岭南乡,全天开放,免费,,4.1,,梯田|登山|油菜花|上虞|古村落|自然风光,自然风光,覆卮山以千年古梯田闻名，春季油菜花盛开时节最为壮观。山间有冰川石浪遗迹和古村落。,建议自驾,春冬,59.2,中,92%,csv_import:覆卮山,2026-06-02T21:11:00.184242
大香林,绍兴,柯桥区,绍兴市柯桥区湖塘街道,08:30-16:30,40元,,4.1,,桂花|自然风光|森林|秋季赏桂|4A景区,自然风光,大香林景区以千年桂花林闻名，秋季桂花盛开时满山飘香。景区内有古桂群、月老祠等景点。,公交：5路至大香林站,春秋,59.2,中,92%,csv_import:大香林,2026-06-02T21:11:00.192782
曹娥庙,绍兴,上虞区,绍兴市上虞区曹娥街道,08:00-16:30,免费,,4.0,,孝文化|曹娥|庙宇|上虞|历史,人文历史,"曹娥庙是纪念汉代孝女曹娥而建的祠庙，被誉为""江南第一庙""。庙内有大量历代碑刻和书法作品。",上虞市区公交可达,春秋,58.0,中,92%,csv_import:曹娥庙,2026-06-02T21:11:00.182800
鲁迅外婆家,绍兴,越城区,绍兴市越城区孙端镇安桥头村,08:30-16:30,免费,,4.0,,鲁迅文化|古村落|乡村|民俗,人文历史,鲁迅外婆家是鲁迅童年时期生活过的地方，《社戏》等作品中的场景来源于此。保留了清末民初的乡村风貌。,建议自驾或乘坐城乡公交,春秋,58.0,中,92%,csv_import:鲁迅外婆家,2026-06-02T21:11:00.196741
中华孝德园,绍兴,上虞区,绍兴市上虞区曹娥街道,08:30-16:30,免费,,3.9,,孝文化|上虞|主题公园|亲子,主题公园,中华孝德园以传统孝文化为主题，集文化展示、园林景观、互动体验于一体。园内有大舜庙、孝德文化展示馆等。,上虞市区公交,春夏秋冬,56.8,中,92%,csv_import:中华孝德园,2026-06-02T21:11:00.181368
